title,product_url,brand,price,rating,review_count,shipping
"SAMSUNG 990 PRO 2TB SSD, PCIe Gen4 M.2 2280, Seq. Read Speeds Up-to 7,450MB/s for High End Computing, Gaming, and Heavy Duty Workstations (MZ-V9P2T0B/AM) Non-Heatsink",https://www.newegg.com/samsung-2tb-990-pro-nvme-2-0/p/N82E16820147861,SAMSUNG,229.99,4.7,836.0,Free Shipping
"SAMSUNG SSD 9100 PRO 2TB, PCIe 5.0x4 M.2 2280, Seq. Read Speeds Up to 14,800MB/s, Best for AI Computing, Gaming, and Heavy Duty Workstations (MZ- VAP2T0B/AM)",https://www.newegg.com/samsung-2tb-9100-pro-nvme-2-0/p/N82E16820147903,SAMSUNG,295.5,4.8,63.0,Free Shipping
"KingSpec P3 SSD 512GB Internal 2.5"" Solid State Drive 2.5 Inch SATA III 3D NAND Flash Data Storage, Speed up to 560MB/s, laptop PC Desktop compatible, Black",https://www.newegg.com/kingspec-512gb-2-5-sata/p/0D9-000D-00129?Item=9SIB1V8FH56757&cm_sp=SP-_-2787476-_-0-_-0-_-9SIB1V8FH56757-_-2tb ssd-_-2tb|ssd-_-21,KingSpec,59.99,3.2,176.0,Free Shipping
"SAMSUNG 990 EVO PLUS SSD 2TB, PCIe Gen 4x4 | Gen 5x2 M.2 2280, Speeds Up-to 7,250 MB/s, Upgrade Storage for PC/Laptops, HMB Technology and Intelligent Turbowrite 2.0 (MZ-V9S2T0B/AM)",https://www.newegg.com/samsung-2tb-990-evo-plus-nvme-2-0/p/N82E16820147900,SAMSUNG,258.55,4.8,372.0,Free Shipping
"SAMSUNG SSD 990 PRO with Heatsink 2TB, PCIe 4.0, Sew. Read Speeds Up-to 7,450MB/s, Compatible with PlayStation®5 (MZ-V9P2T0CW)",https://www.newegg.com/samsung-2tb-990-pro-w-heatsink-normal-package-nvme-2-0/p/N82E16820147863,SAMSUNG,219.99,4.7,836.0,Free Shipping
"ONEBOOM Gaming Series 2.5 inch SATA SSD 2TB Solid State Drive Internal 560MB/s SATA III 3D NAND Flash For PC, Laptop, Desktop 2TB",https://www.newegg.com/oneboom-512gb-s5-sata/p/0D9-010Y-00015?Item=9SIC05YKGB8240&cm_sp=SP-_-2949966-_-0-_-2-_-9SIC05YKGB8240-_-2tb ssd-_-2tb|ssd-_-24,ONEBOOM,169.99,5.0,1.0,Free Shipping
"SK hynix Platinum P51 2TB PCIe Gen5 NVMe M.2 2280 Internal SSD I Up to 14,700 MB/s Read, 13,400 MB/s Write I Powered by 238-Layer NAND Flash",https://www.newegg.com/sk-hynix-2tb-nvme/p/N82E16820329024,SK hynix,269.99,5.0,3.0,Free Shipping
"Team Group T-FORCE VULCAN Z 2.5"" 2TB SATA III 3D NAND Internal Solid State Drive (SSD) T253TZ002T0C101",https://www.newegg.com/team-group-2tb-t-force-vulcan-z-sata/p/N82E16820331861,Team Group,159.99,4.5,488.0,Free Shipping
"Team Group MP44 M.2 2280 2TB PCIe 4.0 x4 with NVMe Laptop & Desktop & NUC & NAS Internal Solid State Drive (SSD), (R/W Speed up to 7,400/7,000MB/s) TM8FPW002T0C101",https://www.newegg.com/team-group-2tb-mp44-nvme/p/N82E16820985037,Team Group,190.99,4.5,42.0,Free Shipping
SAMSUNG 990 EVO SSD 2TB,https://www.newegg.com/samsung-2tb-990-evo-nvme-2-0/p/N82E16820147887,SAMSUNG,189.0,4.8,372.0,Free Shipping
Team Group T-FORCE G50 M.2 2280 2TB PCIe 4.0 x4 with NVMe 1.4 TLC Internal Solid State Drive (SSD) TM8FFE002T0C129,https://www.newegg.com/team-group-2tb-t-force-g50-nvme-1-4/p/N82E16820985144,Team Group,199.99,4.6,76.0,Free Shipping
Team Group MP44L M.2 2280 2TB PCIe 4.0 x4 with NVMe 1.4 TM8FPK002T0C101,https://www.newegg.com/team-group-2tb-mp44l-nvme-1-4/p/N82E16820331920,Team Group,191.99,4.7,164.0,Free Shipping
"SAMSUNG SSD 9100 PRO with Heatsink 2TB, PCIe 5.0x4 M.2 2280, Seq. Read Speeds Up to 14,800/13,400 MB/s, Best for AI Computing, Gaming, and Heavy Duty Workstations (MZ- VAP2T0CW)",https://www.newegg.com/samsung-2tb-9100-pro-nvme-2-0/p/N82E16820147907,SAMSUNG,249.99,4.8,63.0,Free Shipping
"SAMSUNG 980 PRO SSD 2TB, PCIe 4.0 M.2 2280, Speeds Up-to 6,400MB/s Best for High End Computing, Gaming, and Heavy Duty Workstations (MZV8P2T0B/AM)",https://www.newegg.com/samsung-2tb-980-pro/p/N82E16820147796,SAMSUNG,248.99,4.8,2148.0,Free Shipping
Crucial T700 Gen5 NVME M.2 SSD 2280 2TB PCI-Express 5.0 x4 TLC NAND² Internal Solid State Drive (SSD) CT2000T700SSD3,https://www.newegg.com/crucial-2tb-t700-nvme/p/N82E16820156330,Crucial,318.6,4.5,87.0,Free Shipping
Crucial P310 M.2 2280 2TB PCI-Express 4.0 x4 NVMe 3D NAND Internal Solid State Drive Speed Up to 7100 MBps (SSD) CT2000P310SSD8,https://www.newegg.com/crucial-2tb-p310-nvme/p/N82E16820156413,Crucial,225.0,4.7,54.0,Free Shipping
"TEAMGROUP MP44Q 2TB PCIe Gen4 x4 M.2 2280 SSD Laptop & Desktop & NUC & NAS compatible, Speed up to 7400MB/s (TM8FFD002T0C101)",https://www.newegg.com/team-group-2tb-mp44q-nvme-1-4/p/N82E16820985175,Team Group,195.99,4.9,61.0,Free Shipping
"WD Blue 2TB SA510 2.5"" Internal Solid State Drive SSD - WDS200T3B0A",https://www.newegg.com/western-digital-2tb-sa510-sata/p/N82E16820250251,SanDisk,179.99,4.2,267.0,Free Shipping
KingSpec M.2 SATA 2242 SSD Internal Solid State Drive 2TB ROM High-Performance Hard Drives Computer Disk Data Storage NAND Flash PC Desktop Laptop,https://www.newegg.com/kingspec-2tb-m-2-sata-2242/p/0D9-000D-00141,KingSpec,146.99,1.1,7.0,Free Shipping
"Western Digital 2TB WD Blue SN5000 NVMe SSD, PCIe Gen 4.0, up to 5,150 MB/s Read Speeds Internal Solid State Drive (SSD) WDS200T4B0E",https://www.newegg.com/western-digital-2tb-blue-sn5000-nvme/p/N82E16820250267,SanDisk,191.49,4.6,74.0,Free Shipping
KingSpec M2 SSD NVMe 2TB M.2 2280 PCIe Gen 3.0X4 SSD Internal Solid State Drive Computer Disk Data Storage NAND Flash Hard Drives PC Desktop Laptop Ultrabook,https://www.newegg.com/kingspec-1tb-ne-series/p/0D9-000D-00189,KingSpec,157.99,3.5,28.0,Free Shipping
"Crucial T705 2TB PCIe Gen5 NVMe M.2 SSD - Up to 14,500 MB/s - Game Ready - Internal Solid State Drive (PC) - +1mo Adobe CC - CT2000T705SSD3",https://www.newegg.com/crucial-2tb-t705-nvme/p/N82E16820156398,Crucial,329.0,4.4,41.0,Free Shipping
"Crucial T500 2TB Gen4 NVMe M.2 Internal Gaming SSD, Up to 7400MB/s, laptop & desktop Compatible + 1mo Adobe CC All Apps - CT2000T500SSD8",https://www.newegg.com/crucial-2tb-t500-nvme/p/N82E16820156389,Crucial,258.85,4.8,51.0,Free Shipping
MSI SSD SPATIUM M480 PRO PCIe 4.0 NVMe M.2 2TB Internal Solid State Drive (SSD),https://www.newegg.com/msi-2tb-nvme-1-4/p/N82E16820140045,MSI,179.99,4.8,8.0,Free Shipping
"Patriot P400 Lite M.2 PCIe Gen 4 x4 SSD - 2TB Solid State Drive - P400LP2KGM28H Up to 3,500MB/s",https://www.newegg.com/patriot-2tb-p400-lite-nvme-2-0/p/0D9-003W-000M1,Patriot,189.99,,,Free Shipping
