title,product_url,brand,price,rating,review_count,shipping
ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 OC Edition ROG-ASTRAL-RTX5090-O32G-GAMING DLSS 4.0 PCI Express 5.0 Graphics Card,https://www.newegg.com/asus-rog-astral-rog-astral-rtx5090-o32g-gaming-geforce-rtx-5090-32gb-video-cards-triple-fans/p/1FT-000Y-00C95,ASUS,4599.0,,,Free Shipping
"MSI TITAN 18 HX AI Norse Myth 18"" UHD+ 120Hz Mini LED - Intel Core Ultra 9-285HX - RTX 5090 - 96GB DDR5/2TB Gen5+ 2x2TB Gen4 NVMe SSD - Wi-Fi 7 Win 11 Pro (TITAN18HXA2440)",https://www.newegg.com/msi-titan-18-18-0-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-285hx-uhd-96gb-memory-2tb-nvme-ssd-gen5x4-4tb-nvme-ssd-gen4x4-ssd/p/N82E16834156784,MSI,6299.0,,,$30.35 Shipping
Andromeda Insights Quasar Vector - RTX 5090 | Ryzen 7 9800X3D (5.2 GHz Turbo Boost) | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 1200W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11 Home,https://www.newegg.com/andromeda-insights-quasar-gaming-desktop-pcs-nvidia-rtx-5090-amd-ryzen-7-9800x3d-32gb-ddr5-2tb-nvme-ssd-50-vector-black/p/3D5-006J-00063,Andromeda,4499.99,5.0,1,Free Shipping
"Hasee T8 Pro-16'' QHD+ 300Hz-GeForce RTX 5090 AI+ Gaming Laptop, Intel i9-14900HX-5.8GHz, 64G DDR5 RAM, 2TB Gen4*4 SSD, RGB KB,WiFi7, BT5.4, Win11, Mecha Grey",https://www.newegg.com/hasee-t8pro-16-0-geforce-rtx-5090-laptop-gpu-qhd-64gb-memory-2-tb-ssd/p/2WC-004U-00054,Hasee,4999.99,4.5,2,Free Shipping
GIGABYTE Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090GAMING OC-32GD,https://www.newegg.com/gigabyte-gv-n5090gaming-oc-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932761,GIGABYTE,2919.99,4.3,120,Free Shipping
MSI Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G GAMING TRIO OC,https://www.newegg.com/msi-rtx-5090-32g-gaming-trio-oc-geforce-rtx-5090-32gb-graphics-card/p/N82E16814137919,MSI,2636.99,4.6,35,Free Shipping
ASUS TUF Gaming GeForce RTX 5090 32GB GDDR7 OC Edition TUF-RTX5090-O32G-GAMING PCI-Express 5.0 DLSS 4.0  Graphics Card,https://www.newegg.com/asus-tuf-gaming-tuf-rtx5090-o32g-gaming-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814126753,ASUS,2999.99,4.5,81,Free Shipping
ZOTAC AMP Extreme INFINITY GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 ATX Graphics Card ZT-B50900B-10P,https://www.newegg.com/zotac-amp-extreme-infinity-zt-b50900b-10p-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814500593,ZOTAC,2612.98,5.0,5,$12.99 Shipping
MSI Suprim GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G SUPRIM SOC,https://www.newegg.com/msi-rtx-5090-32g-suprim-soc-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814137915,MSI,2949.99,4.7,6,Free Shipping
ASUS TUF Gaming GeForce RTX 5090 GDDR7 PCI Express 4.0 x16 Graphics Card TUF-RTX5090-32G-GAMING,https://www.newegg.com/asus-tuf-gaming-tuf-rtx5090-32g-gaming-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814126752,ASUS,,4.5,81,
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090AORUS M-32GD,https://www.newegg.com/gigabyte-gv-n5090aorus-m-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932760,GIGABYTE,2699.99,4.3,120,Free Shipping
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090AORUSM ICE-32GD,https://www.newegg.com/gigabyte-gv-n5090aorusm-ice-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932765,GIGABYTE,2999.99,4.3,120,Free Shipping
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090AORUSX WB-32GD,https://www.newegg.com/gigabyte-gv-n5090aorusx-wb-32gd-geforce-rtx-5090-32gb-graphics-card/p/N82E16814932764,GIGABYTE,3089.99,4.3,120,$12.99 Shipping
ASUS ROG Astral GeForce RTX 5090  32GB GDDR7 ROG-ASTRAL-RTX5090-O32G-GAMING PCI-Express 5.0 DLSS 4.0 Video Card,https://www.newegg.com/asus-rog-astral-rog-astral-rtx5090-32g-gaming-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814126750,ASUS,3299.99,4.5,81,Free Shipping
GIGABYTE WINDFORCE GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 x16 ATX Graphics Card GV-N5090WF3-32GD,https://www.newegg.com/gigabyte-windforce-gv-n5090wf3-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932779,GIGABYTE,1999.99,4.3,120,$19.99 Shipping
MSI VANGUARD GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G VANGUARD SOC,https://www.newegg.com/msi-rtx-5090-32g-vanguard-soc-geforce-rtx-5090-32gb-graphics-card/p/N82E16814137918,MSI,2599.99,4.8,16,Free Shipping
GIGABYTE WINDFORCE GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090WF3OC-32GD,https://www.newegg.com/gigabyte-windforce-gv-n5090wf3oc-32gd-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814932762,GIGABYTE,2499.99,4.3,120,Free Shipping
ZOTAC Gaming SOLID GeForce RTX 5090 32GB 512-Bit GDDR7 PCI Express 5.0 x16 DLSS 4.0 Graphics Card ZT-B50900D-10P,https://www.newegg.com/zotac-solid-zt-b50900d-10p-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/N82E16814500597,ZOTAC,1999.99,4.6,12,$12.99 Shipping
GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090AORUSX W-32GD,https://www.newegg.com/gigabyte-gv-n5090aorusx-w-32gd-geforce-rtx-5090-32gb-graphics-card/p/N82E16814932763,GIGABYTE,3149.99,4.3,120,$12.99 Shipping
GIGABYTE AORUS MASTER 16 Gaming Laptop - 240Hz 2560x1600 OLED - NVIDIA GeForce RTX 5090 - Intel Core Ultra 9 275HX - 2TB SSD with 32GB DDR5 RAM - Windows 11 Home AD,https://www.newegg.com/aorus-16-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-275hx-wqxga-32gb-memory-2-tb-ssd/p/N82E16834233610,GIGABYTE,3563.99,4.0,3,Free Shipping
